general-2,操作とショートカット
general-1,新米冒険者への手引き
general-3,冒険のヒント
general-FAQ,FAQ（よくある質問）
game-,$旅の知恵【基本】
game-attribute,能力値
game-condition,状態と状態異常
game-party_ability,アビリティの使用
game-item,アイテムと装備品
game-identify,鑑定
game-tool,様々なツールとその役目
game-craft,クラフトと加工
game-recipe,レシピの習得
game_base-,$旅の知恵【拠点】
game_base-livestock,住人と家畜
game_base-policy,ポリシーとスキル
game_base-elec,電力
game_base-civility,民度
game-,$旅の知恵【便利機能】
game-autocombat,オートコンバット
game-item_search,アイテム検索
game-autodump,自動整頓
game-mark_important,大事なものの指定
game-equip_set,装備の自動切換え
game-auto_bed,ベッドの自動使用
game-advanced_menu,高度なメニュー
system-,$旅の知恵【システム】
system-backup,バックアップの復元
custom-,$カスタムコンテンツ
custom-map,カスタムマップ
custom-replace,画像の差し替え
custom-terms2,ユーザーコンテンツ利用規約
custom-terms,アップローダー利用規約
other-,$クレジットなど
credits-2,クレジット
credits-1,素材提供
other-fanwork,二次創作と配信ガイドライン
other-gallery,画集について
