general-2,操作和快捷键
general-1,新手冒险者指南
general-3,冒险的提示
general-FAQ,FAQ（常见问题）
game-,$旅途的智慧【基本】
game-attribute,能力值
game-condition,状态与异常状态
game-party_ability,能力的使用
game-item,道具与装备
game-identify,鉴定
game-tool,各种工具与用途
game-craft,制造与加工
game-recipe,学习配方
game_base-,$旅途的智慧【据点】
game_base-livestock,据点的居民和家畜
game_base-policy,据点的政策与技能
game_base-elec,电力
game_base-civility,居民素质
game-,$旅途的智慧【方便功能】
game-autocombat,自动战斗
game-item_search,搜索道具
game-autodump,自动整理
game-mark_important,指定重要物品
game-equip_set,装备的自动切换
game-auto_bed,床铺的自动使用
game-advanced_menu,高级菜单
system-,$旅途的智慧【系统】
system-backup,备份的还原
custom-,$自定义内容
custom-map,自定义地图
custom-replace,图像替换
custom-terms2,使用上传功能的规则条款
custom-terms,使用上传内容的规则条款
other-,$致谢相关
credits-2,致谢
credits-1,素材提供
other-fanwork,二次创作与发布指南
other-gallery,关于画集
